ticker,ex_dividend_date,pay_date,cash_amount
CHSCL,2024-06-13,2024-06-28,0.46875
CHSCM,2024-06-13,2024-06-28,0.421875
CHSCN,2024-06-13,2024-06-28,0.443749994
CHSCO,2024-06-13,2024-06-28,0.492188007
CHSCP,2024-06-13,2024-06-28,0.5
ECCC,2024-06-10,2024-06-28,0.135417
EFSCP,2024-06-03,2024-06-17,0.3125
EICA,2024-06-10,2024-06-28,0.104167
EICB,2024-06-10,2024-06-28,0.161459
FTAIM,2024-06-03,2024-06-14,0.59375
FTAIN,2024-06-03,2024-06-14,0.51563
FTAIO,2024-06-03,2024-06-14,0.5
FTAIP,2024-06-03,2024-06-14,0.51563
GOODN,2024-06-18,2024-06-28,0.138021
GOODO,2024-06-18,2024-06-28,0.125
HTLFP,2024-06-28,2024-07-15,0.4375
JSM,2024-06-14,2024-06-17,0.375
LANDM,2024-06-18,2024-06-28,0.104167
LANDO,2024-06-18,2024-06-28,0.125
LANDP,2024-06-18,2024-06-28,0.125
MBNKP,2024-06-14,2024-07-01,0.5
NTRSO,2024-06-14,2024-07-01,0.29375
SIGIP,2024-06-03,2024-06-17,0.2875
SLMBP,2024-06-06,2024-06-17,1.9038003
SQFTP,2024-06-28,2024-07-15,0.19531
TCBIO,2024-06-03,2024-06-17,0.359375
