ticker,ex_dividend_date,pay_date,cash_amount
ADCpA,2024-02-16,2024-03-01,0.08854
AELpA,2024-02-14,2024-03-01,0.371875
AELpB,2024-02-14,2024-03-01,0.4140625
AFGD,2024-02-14,2024-03-01,0.351563
ASBA,2024-02-14,2024-03-01,0.414063
BANCpF,2024-02-16,2024-03-01,0.4845
BKDT,2024-02-13,2024-02-15,0.875
BMLpG,2024-02-14,2024-02-28,0.39989
BMLpH,2024-02-14,2024-02-28,0.40238
BMLpJ,2024-02-14,2024-02-28,0.40877
BPOPM,2024-02-14,2024-03-01,0.127604
BWBBP,2024-02-14,2024-03-01,0.3672
CCIA,2024-02-15,2024-02-29,0.1823
CCNEP,2024-02-15,2024-03-01,0.4453125
CGBDL,2024-02-14,2024-03-01,0.575139
CLVTpA,2024-02-14,2024-03-01,1.3125
CMSD,2024-02-14,2024-03-01,0.367188
CNOBP,2024-02-14,2024-03-01,0.328125
COFpI,2024-02-14,2024-03-01,0.3125
COFpJ,2024-02-14,2024-03-01,0.3
COFpK,2024-02-14,2024-03-01,0.2890625
COFpL,2024-02-14,2024-03-01,0.2734375
COFpN,2024-02-14,2024-03-01,0.265625
DHCNL,2024-02-14,2024-03-01,0.390625
DLNGpB,2024-02-13,2024-02-22,0.71764025
DTG,2024-02-14,2024-03-01,0.273438
DTW,2024-02-14,2024-03-01,0.328125
DUKpA,2024-02-15,2024-03-18,0.359375
ESGRO,2024-02-14,2024-03-01,0.4375
ESGRP,2024-02-14,2024-03-01,0.4375
FBIOP,2024-02-14,2024-02-29,0.1953125
FGBIP,2024-02-14,2024-03-01,0.421875
FOSLL,2024-02-14,2024-02-28,0.4375
GJO,2024-02-13,2024-02-15,0.126575
GJP,2024-02-13,2024-02-15,0.138407
GJR,2024-02-13,2024-02-15,0.128786
HBANM,2024-02-14,2024-03-01,0.35625
INBKZ,2024-02-14,2024-03-30,0.375
INNpE,2024-02-14,2024-02-29,0.390625
INNpF,2024-02-14,2024-02-29,0.3671875
JBK,2024-02-13,2024-02-15,0.793125
LUXHP,2024-02-14,2024-02-29,0.270833
MHNC,2024-02-14,2024-03-01,0.484375
NGLpB,2024-02-15,2024-02-27,4.4439
NGLpC,2024-02-15,2024-02-27,4.0746
OPINL,2024-02-14,2024-03-01,0.398438
PFH,2024-02-14,2024-03-01,0.257813
PNFPP,2024-02-14,2024-03-01,0.422
PRH,2024-02-14,2024-03-01,0.371875
RWAYL,2024-02-14,2024-03-01,0.46875
RWAYZ,2024-02-14,2024-03-01,0.5
SAJ,2024-02-14,2024-02-28,0.5
SAT,2024-02-14,2024-02-28,0.375
SAY,2024-02-14,2024-02-28,0.507813
SAZ,2024-02-14,2024-02-28,0.53125
SCHWpD,2024-02-14,2024-03-01,0.372
SCHWpJ,2024-02-14,2024-03-01,0.27825
SPGpJ,2024-02-14,2024-03-29,1.046875
SPNTpB,2024-02-13,2024-02-29,0.5
UMHpD,2024-02-14,2024-03-15,0.3984375
