symbol,reportDate
ABL,2024-04-18
ABR,2024-02-15
ACGL,2024-02-12
ACR,2024-02-29
ADC,2024-02-12
AEL,2024-02-14
AEP,2024-02-27
AES,2024-02-26
AFG,2024-01-30
AGM,2024-02-22
AGNC,2024-01-22
AHH,2024-02-22
AIG,2024-02-13
AIRT,2024-02-08
AIV,2024-02-19
AIZ,2024-02-05
AJX,2024-02-29
AL,2024-02-14
ALL,2024-01-30
ALLY,2024-04-17
ALTG,2024-03-07
AMG,2024-02-05
AMH,2024-02-21
AON,2024-02-02
APO,2024-02-08
AQN,2024-03-08
ARGO,2024-02-26
ARR,2024-02-13
ASB,2024-01-24
ASB,2024-04-18
ATLC,2024-03-12
AUB,2024-01-23
AULT,2024-04-15
AUVI,2024-03-29
AX,2024-01-24
BAC,2024-04-16
BANC,2024-01-25
BANC,2024-04-18
BC,2024-02-01
BCS,2024-02-20
BCV,2024-02-06
BEP,2024-02-02
BFS,2024-02-29
BHF,2024-02-07
BHR,2024-02-29
BIP,2024-02-01
BN,2024-02-08
BOH,2024-01-22
BPOP,2024-01-25
BW,2024-03-13
BWB,2024-01-23
C,2024-04-12
CADE,2024-01-29
CCLD,2024-02-29
CCNE,2024-04-15
CEQP,2024-02-19
CETX,2024-02-12
CFG,2024-04-17
CFR,2024-01-24
CG,2024-02-08
CGBD,2024-02-26
CHMI,2024-03-05
CIM,2024-02-13
CIO,2024-02-22
CLDT,2024-02-27
CLVT,2024-02-28
CMRE,2024-02-06
CMS,2024-02-01
CNFR,2024-03-06
CNO,2024-02-05
CNOB,2024-01-25
CODI,2024-02-28
COF,2024-01-25
CORR,2024-03-05
CSSE,2024-03-29
CSWC,2024-01-29
CTO,2024-02-22
CTVA,2024-01-31
CUBI,2024-01-25
CYCC,2024-03-04
D,2024-02-22
DBRG,2024-02-22
DCOM,2024-01-26
DDS,2024-02-19
DHC,2024-02-28
DLNG,2024-03-15
DLR,2024-02-15
DRH,2024-02-22
DSX,2024-02-20
DTE,2024-02-21
DUK,2024-02-08
DX,2024-01-29
ECC,2024-02-20
ECF,2024-01-25
EFC,2024-02-21
EFSC,2024-01-22
EIC,2024-02-20
EIX,2024-02-21
EPR,2024-02-28
EQC,2024-02-12
EQH,2024-02-06
ESGR,2024-02-28
ET,2024-02-13
ETR,2024-02-22
EXC,2024-02-21
F,2024-02-06
FAT,2024-02-20
FBIO,2024-03-28
FBRT,2024-02-14
FCNCA,2024-01-26
FGBI,2024-01-29
FGF,2024-03-22
FHN,2024-04-16
FITB,2024-04-19
FNB,2024-04-17
FOSL,2024-03-06
FRME,2024-01-25
FRT,2024-02-12
FULT,2024-04-16
GAIN,2024-01-30
GAM,2024-02-15
GECC,2024-02-29
GEG,2024-02-12
GL,2024-01-30
GLAD,2024-02-05
GLP,2024-02-26
GMBL,2024-02-19
GMRE,2024-02-26
GNL,2024-02-21
GOOD,2024-02-21
GPMT,2024-02-21
GRBK,2024-02-26
GS,2024-04-16
GSL,2024-02-28
GTLS,2024-02-28
HBAN,2024-04-18
HIG,2024-02-01
HL,2024-02-13
HNNA,2024-02-07
HOV,2024-02-26
